PopulationTotale,DEC_MED18,NbrDePtsDeRech,Total_Electric_Cars
312730,16619.36170212766,299,33900
378775,16861.272727272728,293,127807
279470,19449.677419354837,203,35337
2078397,20119.776357827475,217,446562
706605,19353.908045977012,294,174886
143567,20277.69230769231,167,21067
349856,18182.083333333332,196,69262
674439,20123.389830508473,220,151922
295729,18441.219512195123,235,35927
238962,19183.0,299,32119
537752,21506.162790697676,317,88239
611351,20900.425531914894,217,70649
113922,19420.0,149,6868
413192,18788.076923076922,209,61255
552321,18882.597402597403,168,70946
524109,18590.625,298,61718
598339,17275.833333333332,270,70832
430422,17838.0,221,86292
931604,20862.14814814815,204,123924
766765,16748.834951456312,209,89279
1487804,22905.31914893617,260,734977
193695,18888.18181818182,188,54870
1707780,23361.923076923078,251,470720
1243225,18270.722222222223,241,349421
1127720,22629.93288590604,157,166227
213871,18558.46153846154,257,23573
616751,20698.660714285714,242,104551
1307146,20839.941860465115,203,206861
257483,18311.739130434784,157,64063
434933,20576.969696969696,339,56423
326941,18086.944444444445,415,42890
775102,17651.58620689655,201,69623
226900,17902.85714285714,127,21476
1503876,23442.420634920636,183,307165
689581,20051.52380952381,182,67622
175800,20077.777777777777,177,37093
330385,17242.90322580645,245,50180
76647,20800.0,245,10520
834135,20334.745762711864,175,144777
494200,20314.10714285714,213,151567
562874,18531.769911504423,278,134321
168200,17637.391304347828,299,32573
304981,19796.060606060608,174,27800
730320,20039.139784946237,250,140094
178562,18096.428571428572,195,12740
782348,20833.095238095237,187,110089
1055259,18940.76433121019,300,271713
198936,17788.571428571428,208,21259
2614334,18599.176276771006,235,663852
830176,18720.744680851065,245,224602
272379,16976.25,212,42985
1455555,16084.42857142857,215,188272
665094,20878.809523809523,222,74728
706361,21433.88349514563,195,121863
232534,16800.0,238,41653
497810,16162.258064516129,243,100048
1170551,20042.216216216217,237,452041
769047,19033.64406779661,191,241218
1926989,22422.880184331796,216,245118
232523,17812.727272727272,113,50858
546695,17587.70491803279,198,60279
566096,19141.5,152,69662
451819,20952.558139534885,364,77875
866490,24407.575757575756,229,525253
1255554,19027.24409448819,221,381779
1464783,21655.574468085106,263,127947
1473664,28570.272277227723,222,408598
373682,20007.380952380954,200,158369
562126,17723.44262295082,215,177552
398772,18581.01694915254,194,65944
267619,18170.909090909092,273,51405
1121506,20929.285714285714,244,199737
568715,17293.684210526317,299,130081
717301,21447.14285714286,196,70635
440921,18214.48979591837,331,74195
370339,18699.076923076922,209,144003
355431,17128.18181818182,286,35599
328774,16913.125,316,75573
137235,16682.222222222223,230,31431
1331827,23400.564784053156,174,170729
1651407,31441.639072847684,224,396722
1701072,17066.46153846154,107,114887
1433927,24350.673267326732,183,69450
1275704,21013.179190751445,162,159617